block,o_id,outcome,level,o1_fam,o1_col,o2_fam,o2_col,family,column,period,base_thr,thr_type,thr_range,thr_value,thr_value_norm,prim_option,coverage,density,avg_cov_dev,driver_col,min,max,min_norm,max_norm,query_type
1,1,Benefit,1,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,22-30,High,High,75.0,-0.006396457626401779,0.7108856541332546,base,1.0,0.8333333333333334,0.9166666666666667,Net CAPEX and OPEX of passenger transport_wrtBAU,-0.0032415016522040945,-0.0006596271923864361,0.6378673108971552,1.0,structured
1,1,Benefit,1,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,22-30,High,High,75.0,-0.006396457626401779,0.7108856541332546,base,1.0,0.8333333333333334,0.9166666666666667,Net CAPEX and OPEX of power and H2_wrtBAU,-0.0012055781035820146,-0.00036911994866615106,0.496707050510828,1.0,structured
1,1,Benefit,1,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,22-30,Low,Low,25.0,-0.010314778313612525,0.295261654122991,base,1.0,0.9090909090909091,0.9545454545454546,Net CAPEX and OPEX of passenger transport_wrtBAU,-0.007789263752438633,-0.006014611556839883,0.0,0.2489120140488281,structured
1,1,Benefit,1,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,22-30,Low,Low,25.0,-0.010314778313612525,0.295261654122991,base,1.0,0.9090909090909091,0.9545454545454546,Net CAPEX and OPEX of freight transport_wrtBAU,-0.002934758194050395,-0.0006849834221716138,0.0,0.9720138953428364,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-30,Low,Low,24.89120140488281,-0.006014611556839883,0.2489120140488281,base,1.0,0.8571428571428571,0.9285714285714286,Passenger rail and urban interventions_direct,0.00573239857373645,0.008359857660602252,0.3768615424189964,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-30,Low,Low,24.89120140488281,-0.006014611556839883,0.2489120140488281,base,1.0,0.8571428571428571,0.9285714285714286,Passenger transport fleet_direct,1648596.3188999998,1962457.6180999996,0.2151176354191895,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-30,Low,Low,24.89120140488281,-0.006014611556839883,0.2489120140488281,base,1.0,0.8571428571428571,0.9285714285714286,ZEV Penetration of passenger transport_direct,0.00287735653215057,0.02848337778275154,0.06877301880424484,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-30,Low,Low,24.89120140488281,-0.006014611556839883,0.2489120140488281,base,1.0,0.8571428571428571,0.9285714285714286,Capital costs electric_direct,0.6520334633615128,1.033350078420561,0.08261518584273524,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-30,Low,Low,24.89120140488281,-0.006014611556839883,0.2489120140488281,base,1.0,0.8571428571428571,0.9285714285714286,Capital costs fossil_direct,0.948799584080229,1.0645837604539254,0.13893487229338358,0.954576397674904,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-30,Low,Low,24.89120140488281,-0.006014611556839883,0.2489120140488281,base,1.0,0.8571428571428571,0.9285714285714286,Capital costs hydrogen_direct,0.8118266045505729,0.9129787994576004,0.0,0.8935734701321973,structured
